country_name,voter_status,procedural,substantive,proc_sub_diff
Australia,Non-voter,0.24184451219512196,0.25472560975609754,-0.01288109756097558
Australia,Voter,0.26248745111228666,0.1884164730275911,0.07407097808469557
Cambodia,Non-voter,0.24858171839973248,0.27432009043141187,-0.02573837203167939
Cambodia,Voter,0.25097310954473906,0.27881246655333325,-0.02783935700859419
Indonesia,Non-voter,0.20480260008951956,0.24989404598074827,-0.04509144589122871
Indonesia,Voter,0.1862946718283035,0.31531636918932937,-0.12902169736102587
Japan,Non-voter,0.12809936305055658,0.32178211994165684,-0.19368275689110026
Japan,Voter,0.15696761940002543,0.26079596733433713,-0.1038283479343117
Malaysia,Non-voter,0.19500789589793155,0.2701260282239428,-0.07511813232601128
Malaysia,Voter,0.20033229869014083,0.24113383643294392,-0.040801537742803096
Mongolia,Non-voter,0.2643883441819252,0.17309178119939322,0.09129656298253197
Mongolia,Voter,0.24480883737722578,0.19685365734585805,0.04795518003136773
Myanmar,Non-voter,0.23914488924328664,0.34380830065820855,-0.10466341141492191
Myanmar,Voter,0.21497611850198056,0.37488438939301005,-0.1599082708910295
Philippines,Non-voter,0.24518607626820785,0.2992795165065571,-0.05409344023834925
Philippines,Voter,0.24288352144406467,0.29992684383768403,-0.05704332239361937
South Korea,Non-voter,0.20736203226491987,0.2294417750823815,-0.02207974281746164
South Korea,Voter,0.2153017837954908,0.20537657356310784,0.009925210232382964
Taiwan,Non-voter,0.1809856814377049,0.35531784859886867,-0.17433216716116376
Taiwan,Voter,0.19557219760196587,0.305722855651687,-0.11015065804972113
Thailand,Non-voter,0.20110522469857509,0.29071900499330167,-0.08961378029472658
Thailand,Voter,0.17252110768765863,0.3353414323064137,-0.1628203246187551
