cite_key,entry_type,bib_title,bib_date,doi,format_valid,resolves,status_code,crossref_title,crossref_year,title_similarity,year_match,error,suggested_doi,suggested_title,suggested_year,suggestion_score,isbn,isbn_confirmed,isbn_ol_found,isbn_gb_found,isbn_found_title,isbn_found_year,isbn_title_match,isbn_found_doi
Offe2008-xz,INBOOK,Political disaffection as an outcome of institutional practices? Some post-Tocquevillean speculations,2008-09-29,10.1007/978-3-531-91156-4,True,True,200,Bedrohungen der Demokratie,2009,0.14,no,,,,,,,,,,,,,
Choo2019-ko,BOOK,Gender and class in contemporary South Korea: Intersectionality and transnationality,2019-03-15,10.2307/jj.7762600,True,True,200,Gender and Class in Contemporary South Korea,2019,0.69,yes,,,,,,,,,,,,,
Aassve2021-dn,ARTICLE,Epidemics and trust: The case of the Spanish Flu,2021-04,10.1002/hec.4218,True,True,200,Epidemics and trust: The case of the Spanish Flu,2021,1.0,yes,,,,,,,,,,,,,
Peisakhin2026-kk,ARTICLE,The political legacy of elite repression,2026-04,10.1177/00104140251349644,True,True,200,The Political Legacy of Elite Repression,2026,1.0,yes,,,,,,,,,,,,,
Merilainen2025-lw,ARTICLE,The loser’s long curse: How exposure to class conflict shapes election outcomes,2025-12,10.1177/00104140231209962,True,True,200,The Loser’s Long Curse: How Exposure to Class Conflict Shapes Election Outcomes,2025,1.0,yes,,,,,,,,,,,,,
Un2019-wq,BOOK,Cambodia: Return to authoritarianism,2019-02-07,10.1017/9781108558648,True,True,200,Cambodia,2019,0.37,yes,,,,,,,,,,,,,
Han1974-ef,BOOK,The failure of democracy in South Korea,1974-12-31,10.1525/9780520314900,True,True,200,The Failure of Democracy in South Korea,1974,1.0,yes,,,,,,,,,,,,,
Robinson2019-qm,ARTICLE,Self-censorship of regime support in authoritarian states: Evidence from list experiments in China,2019-07,10.1177/2053168019856449,True,True,200,Self-censorship of regime support in authoritarian states: Evidence from list experiments in China,2019,1.0,yes,,,,,,,,,,,,,
De_Micheli2026-vi,ARTICLE,Consequences of corruption for political system support: Evidence from a Brazilian scandal,2026-03,10.1177/00104140251342918,True,True,200,Consequences of Corruption for Political System Support: Evidence From a Brazilian Scandal,2026,1.0,yes,,,,,,,,,,,,,
ONeill2016-ff,ARTICLE,Cambodia in 2015: From cooperation to conflict,2016,10.1525/AS.2016.56.1.155,True,True,200,Cambodia in 2015,2016,0.52,yes,,,,,,,,,,,,,
Hughes2006-hf,ARTICLE,The politics of gifts: Tradition and regimentation in contemporary Cambodia,2006-10,10.1017/s0022463406000749,True,True,200,The Politics of Gifts: Tradition and Regimentation in Contemporary Cambodia,2006,1.0,yes,,,,,,,,,,,,,
Soeung2016-qd,INBOOK,Cambodia in 2015: Accommodating generational change,2016-12-31,10.1355/9789814695671-011,True,True,200,Cambodia in 2015: Accommodating Generational Change,2016,1.0,yes,,,,,,,,,,,,,
Ciorciari2020-jq,ARTICLE,Cambodia in 2019: Backing further into a corner,2020-02-01,10.1525/as.2020.60.1.125,True,True,200,Cambodia in 2019,2020,0.52,yes,,,,,,,,,,,,,
Loughlin2021-nz,ARTICLE,Beyond personalism: Elite politics and political families in Cambodia,2021,10.1355/cs43-2b,True,True,200,Beyond Personalism: Elite Politics and Political Families in Cambodia,2021,1.0,yes,,,,,,,,,,,,,
Sutton2018-qm,ARTICLE,Hun sen’s consolidation of personal rule and the closure of political space in Cambodia,2018-08-31,10.1355/cs40-2a,True,True,200,Hun Sen’s Consolidation of Personal Rule and the Closure of Political Space in Cambodia,2018,1.0,yes,,,,,,,,,,,,,
Croissant2019-ja,ARTICLE,Cambodia in 2018: Requiem for multiparty politics,2019-02-01,10.1525/as.2019.59.1.170,True,True,200,Cambodia in 2018,2019,0.5,yes,,,,,,,,,,,,,
Croissant2018-dy,ARTICLE,Cambodia in 2017: Descending into dictatorship?,2018-02-01,10.1525/as.2018.58.1.194,True,True,200,Cambodia in 2017,2018,0.52,yes,,,,,,,,,,,,,
Un2020-au,ARTICLE,Entrenching one-party rule and asserting national sovereignty in the era of shifting global geopolitics,2020,10.1355/9789814881319-008,True,True,200,Cambodia in 2019: Entrenching One-Party Rule and Asserting National Sovereignty in the Era of Shifting Global Geopolitics,2020,0.92,yes,,,,,,,,,,,,,
Norris2012-er,BOOK,"Making democratic governance work: How regimes shape prosperity, welfare, and peace",2012-08-27,10.1017/cbo9781139061902,True,True,200,Making Democratic Governance Work,2012,0.58,yes,,,,,,,,,,,,,
Fu2026-rm,ARTICLE,Does affluence influence authoritarian responsiveness? Evidence from urban China,2026-03,10.1177/00104140251342921,True,True,200,Does Affluence Influence Authoritarian Responsiveness? Evidence From Urban China,2026,1.0,yes,,,,,,,,,,,,,
Dahlum2019-nd,ARTICLE,Educating demonstrators: Education and mass protest in Africa,2019-01,10.1177/0022002717721394,True,True,200,Educating Demonstrators: Education and Mass Protest in Africa,2019,1.0,yes,,,,,,,,,,,,,
Kane2011-hs,BOOK,Political legitimacy in Asia: New leadership challenges,2011-11-09,10.1057/9781137001474,True,True,200,Political Legitimacy in Asia,2011,0.68,yes,,,,,,,,,,,,,
Kerkvliet2015-lp,INBOOK,Democracy in Thailand: theory and practice,2015-04-24,10.4324/9781315674735-31,True,True,200,Democracy in Thailand: theory and practice,2015,1.0,yes,,,,,,,,,,,,,
Hardy2008-xz,INBOOK,Hysteresis,2008-07-31,10.1017/upo9781844654031.012,True,True,200,Hysteresis,2008,1.0,yes,,,,,,,,,,,,,
Shin2018-mq,ARTICLE,How global citizenries think about democracy: An evaluation and synthesis of recent public opinion research,2018-06,10.1017/s1468109918000063,True,True,200,How Global Citizenries Think about Democracy: An Evaluation and Synthesis of Recent Public Opinion Research,2018,1.0,yes,,,,,,,,,,,,,
Shin2008-gu,INBOOK,2. The mass public and democratic politics in South Korea: Exploring the subjective world of democratization in flux,2008-12-31,10.7312/chu-14534-004,True,True,200,2. The Mass Public and Democratic Politics in South Korea,2008,0.66,yes,,,,,,,,,,,,,
Lin2001-oh,BOOK,Structural analysis in the social sciences: Social capital: A theory of social structure and action series number 19: A Theory of Social Structure and Action,2001-01-29,10.1017/cbo9780511815447,True,True,200,Social Capital,2001,0.17,yes,,,,,,,,,,,,,
